Cancer_Type_Code	Sample	Aberrant_Cell_Fraction(Purity)	Ploidy
ACC	TCGA.OR.A5J1.01A.11D.A29H.01	0.84	1.96998462330427
ACC	TCGA.OR.A5J2.01A.11D.A29H.01	0.63	3.72038236827769
ACC	TCGA.OR.A5J3.01A.11D.A29H.01	0.77	2.4981349717372
ACC	TCGA.OR.A5J4.01A.11D.A29H.01	0.76	2.66978976297454
ACC	TCGA.OR.A5J5.01A.11D.A29H.01	0.77	2.74711305175488
ACC	TCGA.OR.A5J6.01A.31D.A29H.01	0.52	4.63190056292367
ACC	TCGA.OR.A5J7.01A.11D.A29H.01	0.75	2.58687277769541
ACC	TCGA.OR.A5J8.01A.11D.A29H.01	0.45	3.99014647566023
ACC	TCGA.OR.A5J9.01A.11D.A29H.01	0.74	2.55319953553383
ACC	TCGA.OR.A5JA.01A.11D.A29H.01	0.63	4.91218679492241
ACC	TCGA.OR.A5JB.01A.11D.A29H.01	0.67	1.751354554173
ACC	TCGA.OR.A5JC.01A.11D.A29H.01	0.62	2.83758399846289
ACC	TCGA.OR.A5JD.01A.11D.A29H.01	0.62	3.16123373410478
ACC	TCGA.OR.A5JE.01A.11D.A29H.01	0.63	3.45241415233535
ACC	TCGA.OR.A5JF.01A.11D.A29H.01	0.67	2.85653359633092
ACC	TCGA.OR.A5JG.01A.11D.A29H.01	0.69	3.79309875681442
ACC	TCGA.OR.A5JH.01A.11D.A309.01	0.5	1.57241457437539
ACC	TCGA.OR.A5JI.01A.11D.A29H.01	0.49	4.03158692053486
ACC	TCGA.OR.A5JJ.01A.11D.A29H.01	0.7	2.81401472808682
ACC	TCGA.OR.A5JK.01A.11D.A29H.01	0.55	2.88516012810026
ACC	TCGA.OR.A5JL.01A.11D.A29H.01	0.6	2.81182456239723
ACC	TCGA.OR.A5JM.01A.11D.A29H.01	0.79	3.08563136912566
ACC	TCGA.OR.A5JO.01A.11D.A29H.01	0.6	2.00082353339697
ACC	TCGA.OR.A5JP.01A.11D.A29H.01	0.62	3.15346319949666
ACC	TCGA.OR.A5JQ.01A.11D.A29H.01	0.57	2.90886767212154
ACC	TCGA.OR.A5JR.01A.11D.A29H.01	0.68	2.72990825626938
