name,mle,cilow,cihigh,areacutoff,nmutations
wmis,1.470943544886234,1.2875222228010161,1.6804951976171614,0.02,2558
wnon,3.9780462822011966,3.2245572870235324,4.907604615063946,0.02,2558
wspl,3.4186713191360587,2.5805407060972505,4.529017333719607,0.02,2558
wtru,3.7842178245900113,3.148647949005646,4.54808056533191,0.02,2558
wall,1.6691370016414588,1.4645088613524009,1.902356758480717,0.02,2558
wmis,1.7249428229757786,1.5636421769117448,1.9028827608195091,0.07,4990
wnon,5.859105140062284,5.09497002201032,6.737843970426161,0.07,4990
wspl,5.860287813412051,4.8648511704407,7.059408819060486,0.07,4990
wtru,5.859471585442051,5.1692529331247705,6.641850902785778,0.07,4990
wall,2.0711861521613217,1.8811892222484974,2.28037245066576,0.07,4990
wmis,1.85263031861628,1.685676667864826,2.036119478241179,0.12000000000000001,5663
wnon,6.443111492714881,5.645040146758836,7.354010711755548,0.12000000000000001,5663
wspl,6.769507175647675,5.691989154496152,8.051003991275497,0.12000000000000001,5663
wtru,6.543533076018696,5.810112146435156,7.369535051612033,0.12000000000000001,5663
wall,2.242892148392615,2.0445546699201875,2.4604698829195977,0.12000000000000001,5663
wmis,1.9201410351763624,1.7502918503673146,2.106472468688245,0.17,5998
wnon,6.724158152924255,5.910631960377327,7.649656275105192,0.17,5998
wspl,6.986024423516082,5.9020581988864915,8.269070822644697,0.17,5998
wtru,6.805168720617576,6.059304435393366,7.642844456793733,0.17,5998
wall,2.326564117185322,2.124555463055612,2.5477803171065676,0.17,5998
wmis,1.950722416624618,1.7797477030972133,2.1381221282654668,0.22,6212
wnon,6.969177212550577,6.138675142356411,7.91203800390229,0.22,6212
wspl,7.2997686970702675,6.184953301296557,8.61552552378309,0.22,6212
wtru,7.070867315552644,6.306480536270431,7.927902782955119,0.22,6212
wall,2.3754902866631102,2.171130811253893,2.5990852659733616,0.22,6212
wmis,1.980245932870223,1.8076619036232093,2.1693071844846683,0.27,6349
wnon,7.1886430649843795,6.339595874909458,8.151401151652443,0.27,6349
wspl,7.475560791689614,6.344011747933058,8.8089384715365,0.27,6349
wtru,7.276990700152221,6.496595532748008,8.151129831489225,0.27,6349
wall,2.417546912700901,2.210721733038977,2.6437217256988044,0.27,6349
wmis,1.9975704844665623,1.8240683589815065,2.187575822344733,0.32000000000000006,6456
wnon,7.27765549512428,6.422614976198543,8.2465272637379,0.32000000000000006,6456
wspl,7.682506285196717,6.530404681737286,9.037862996016614,0.32000000000000006,6456
wtru,7.402240239780204,6.612627101480024,8.28614100365006,0.32000000000000006,6456
wall,2.4416389375058847,2.2334448281234587,2.669240191688014,0.32000000000000006,6456
wmis,1.989692557548539,1.8176671403313287,2.1779985926589465,0.37000000000000005,6519
wnon,7.24757007351096,6.399603064907306,8.207895308146346,0.37000000000000005,6519
wspl,7.843459471158002,6.677137619241467,9.213507341591518,0.37000000000000005,6519
wtru,7.430433223526279,6.641712707537286,8.312816335254468,0.37000000000000005,6519
wall,2.434917009826993,2.228272773238916,2.660724896856752,0.37000000000000005,6519
wmis,2.0001837536939693,1.8276479028446897,2.189007544787073,0.42000000000000004,6588
wnon,7.358683909814938,6.500705003988636,8.329900964794483,0.42000000000000004,6588
wspl,7.823266210893465,6.662372644677125,9.186441148020394,0.42000000000000004,6588
wtru,7.501932093844581,6.707995927538431,8.389835913527081,0.42000000000000004,6588
wall,2.449897356990354,2.2424429892317432,2.6765438803171517,0.42000000000000004,6588
wmis,2.0019230297522186,1.829526747837904,2.190564211093668,0.47000000000000003,6628
wnon,7.364752412272859,6.507643975839494,8.334748842353799,0.47000000000000003,6628
wspl,7.828500666325269,6.668835790562649,9.189823322592941,0.47000000000000003,6628
wtru,7.50768235575831,6.714490138340644,8.394575491757925,0.47000000000000003,6628
wall,2.4516626826247863,2.244400237878772,2.6780650830155635,0.47000000000000003,6628
wmis,2.011465276895042,1.8383282378229533,2.200908671753815,0.52,6672
wnon,7.390939592427676,6.531460038607903,8.363518682808602,0.52,6672
wspl,7.917895012022284,6.747944531516515,9.290690095124107,0.52,6672
wtru,7.553247132738787,6.755954492809895,8.444630926532215,0.52,6672
wall,2.4631030861688252,2.254952873280126,2.690467231037658,0.52,6672
wmis,2.016654125940824,1.8432472168758782,2.2063746123903725,0.5700000000000001,6704
