name,mle,cilow,cihigh,areacutoff,nmutations
wmis,1.03748177237432,0.7364295643433453,1.4616040421580978,0.03,198
wnon,1.15403952718006,0.5421907852191531,2.456344273272112,0.03,198
wspl,1.4238478332133453,0.4096813240498131,4.948584504915909,0.03,198
wtru,1.2136957236517683,0.6239409462229515,2.3608921942497822,0.03,198
wall,1.051714775479889,0.7506775615658307,1.4734741326962035,0.03,198
wmis,1.206937752453684,1.0530227923765625,1.3833496756611825,0.08,1369
wnon,1.6910598341502003,1.2897338008955175,2.217266354258919,0.08,1369
wspl,2.1949296275928334,1.5051099633857867,3.2009063704868623,0.08,1369
wtru,1.830232122374565,1.4517543372550608,2.3073804815388557,0.08,1369
wall,1.2593579018944228,1.1013713921965458,1.440006828124418,0.08,1369
wmis,1.2022850511259262,1.0740943658596669,1.3457749990187804,0.13,2065
wnon,1.7926582010307832,1.4433025966519524,2.226576348700271,0.13,2065
wspl,2.2609485239264218,1.667529931675567,3.065545110011032,0.13,2065
wtru,1.9219517161456505,1.5951350506215531,2.315727685725333,0.13,2065
wall,1.2640698459651332,1.1316259721320372,1.4120147600252115,0.13,2065
wmis,1.2272234066098586,1.1065689366854614,1.361033406777443,0.18000000000000002,2522
wnon,1.8674176292768734,1.5371089117770658,2.2687062545896097,0.18000000000000002,2522
wspl,2.3267967902032325,1.7669372061825228,3.06404963569532,0.18000000000000002,2522
wtru,1.9931102158688778,1.684456242333314,2.3583208828851387,0.18000000000000002,2522
wall,1.2940195044903964,1.169020997307276,1.432383577248471,0.18000000000000002,2522
wmis,1.2368548213563055,1.1200567160632555,1.3658324861345166,0.23,2786
wnon,1.862397869016748,1.5470278183578365,2.2420578229808106,0.23,2786
wspl,2.3901655049175003,1.837538782530993,3.1089907844169113,0.23,2786
wtru,2.0035212779459095,1.7061419765640675,2.352733574532785,0.23,2786
wall,1.3038309646656248,1.1828562610303968,1.4371781597030482,0.23,2786
wmis,1.239758883211451,1.1257001180909905,1.3653743690710602,0.28,2983
wnon,1.8587195676539405,1.5512777399140578,2.2270921204419865,0.28,2983
wspl,2.4548340578915595,1.9069192214997903,3.160181188506103,0.28,2983
wtru,2.018969145511255,1.7271799566446975,2.3600530997621916,0.28,2983
wall,1.3071301724209181,1.1889395748325229,1.4370699098764674,0.28,2983
wmis,1.2487257646944032,1.1350904351878115,1.3737372698005499,0.33000000000000007,3092
wnon,1.8858602769428296,1.5790358737683372,2.2523041073559935,0.33000000000000007,3092
wspl,2.4998933362432725,1.9498405993309613,3.205116712995855,0.33000000000000007,3092
wtru,2.049852041994919,1.7581159642407898,2.389997861082645,0.33000000000000007,3092
wall,1.3178988815755797,1.2000145857231765,1.4473636260108154,0.33000000000000007,3092
wmis,1.2618155824059445,1.1480635734748137,1.386838325671677,0.38,3183
wnon,1.9264336707292744,1.6167118491152526,2.29549049804416,0.38,3183
wspl,2.522860176846537,1.972969558350281,3.2260120005298782,0.38,3183
wtru,2.0861404422916117,1.7924721701341395,2.427921625493891,0.38,3183
wall,1.3325168716441917,1.2144191361052499,1.46209917188141,0.38,3183
wmis,1.2679707872132706,1.1544484012678107,1.3926563677169255,0.43000000000000005,3242
wnon,1.9278628522829686,1.6199391183151275,2.294317814288142,0.43000000000000005,3242
wspl,2.5942889732235397,2.03794534571005,3.3025101928061282,0.43000000000000005,3242
wtru,2.1066489930617003,1.81275073131492,2.4481964912785847,0.43000000000000005,3242
wall,1.3396621710544072,1.2217464369028135,1.46895843388244,0.43000000000000005,3242
wmis,1.2686597998506721,1.1555502303583738,1.392840956172013,0.48,3284
wnon,1.9536417360374312,1.6438394804541125,2.3218301288961474,0.48,3284
wspl,2.6843564413575502,2.1171077373041074,3.4035913134177513,0.48,3284
wtru,2.149962084758709,1.8526498298159368,2.494986851540773,0.48,3284
wall,1.343648685348807,1.2258934149136314,1.4727151379361751,0.48,3284
wmis,1.283553485699624,1.1695267908330804,1.4086975720138029,0.53,3327
wnon,1.9455570649076261,1.637963015468159,2.310914383942974,0.53,3327
wspl,2.663228135695451,2.1009197030804927,3.376037690712314,0.53,3327
wtru,2.138049713711168,1.843140419637513,2.480145587170959,0.53,3327
wall,1.356650548643256,1.2381553692969225,1.4864860717594455,0.53,3327
wmis,1.2823333693134022,1.168753044803719,1.4069515175730047,0.5800000000000001,3352
wnon,1.9670588587359576,1.6582085872621648,2.3334341550601705,0.5800000000000001,3352
wspl,2.659314483364363,2.09807244568038,3.370690814796016,0.5800000000000001,3352
wtru,2.1518549407781657,1.8564892475563037,2.494213037994431,0.5800000000000001,3352
wall,1.3568979879225864,1.2387477428147122,1.4863172589479827,0.5800000000000001,3352
wmis,1.2845638762140328,1.1710874978511543,1.409035921826355,0.6300000000000001,3377
wnon,1.9874113763855925,1.6768635517907666,2.355471305204753,0.6300000000000001,3377
wspl,2.6412267075166747,2.0843417594376756,3.3468976423431704,0.6300000000000001,3377
wtru,2.162449266544747,1.8666990156985461,2.5050566754758887,0.6300000000000001,3377
wall,1.3598605152238168,1.2417629543709887,1.4891897156019618,0.6300000000000001,3377
wmis,1.2808299360867692,1.1679094249207889,1.404668281778189,0.68,3395
wnon,1.984463475504683,1.6749851851238966,2.351122458029878,0.68,3395
wspl,2.626247980499049,2.0728367989738388,3.3274102710304017,0.68,3395
wtru,2.156264705206306,1.8618320058884723,2.4972594005331277,0.68,3395
wall,1.355908145733111,1.2383898682867729,1.4845784407206295,0.68,3395
wmis,1.281828927025969,1.1689204117957546,1.4056435165131187,0.7300000000000001,3409
wnon,1.9819109263103063,1.6733639279862933,2.3473500618332626,0.7300000000000001,3409
wspl,2.6266925429939416,2.073251858929451,3.3278705072439334,0.7300000000000001,3409
wtru,2.1538350138960247,1.8600862351344845,2.4939732252516182,0.7300000000000001,3409
wall,1.3567255220479404,1.2392389568598277,1.4853504499572165,0.7300000000000001,3409
wmis,1.2832924741686957,1.1704466272253802,1.407018086900684,0.78,3421
wnon,1.978879378730619,1.670962351455414,2.343537897280847,0.78,3421
wspl,2.645535628095285,2.0900849203301624,3.3486001891329527,0.78,3421
wtru,2.1567192606394334,1.8629674568974592,2.4967897061173017,0.78,3421
wall,1.3580895672687259,1.2406789911379317,1.4866111910482929,0.78,3421
wmis,1.2849129387611176,1.1719459594430346,1.408769104831734,0.8300000000000001,3430
wnon,1.9773898304352684,1.6697522812897303,2.3417069617588124,0.8300000000000001,3430
wspl,2.6367528188360785,2.083340980621685,3.3371711555183525,0.8300000000000001,3430
wtru,2.153572869777273,1.8602918602834435,2.4930905759777224,0.8300000000000001,3430
wall,1.359342288637915,1.241838932936757,1.4879638644518707,0.8300000000000001,3430
wmis,1.2828342702367246,1.1701922762824184,1.4063191137459015,0.8800000000000001,3441
wnon,1.9750379035094816,1.6678415349424613,2.33881615163979,0.8800000000000001,3441
wspl,2.6291470158953203,2.077492315880806,3.3272874120165272,0.8800000000000001,3441
wtru,2.150044097739792,1.8573556347023632,2.4888554113474832,0.8800000000000001,3441
wall,1.3570141745326676,1.2398584539533823,1.4852400804389045,0.8800000000000001,3441
wmis,1.2844876241320804,1.1717165572805874,1.4081122659713152,0.93,3452
wnon,1.9760694478977152,1.6687218526508474,2.340024766087729,0.93,3452
wspl,2.6312974454000164,2.0792016269582474,3.329992703159658,0.93,3452
wtru,2.1513343100219067,1.8584747904296008,2.4903428000804784,0.93,3452
wall,1.3585960944193547,1.2413170760497472,1.4869555759640194,0.93,3452
wmis,1.2852826946424174,1.1724510391947562,1.408972784297961,0.9800000000000001,3455
wnon,1.9761409808505686,1.668798070443958,2.3400873031679303,0.9800000000000001,3455
wspl,2.6272414825863053,2.076105690719205,3.32468517314798,0.9800000000000001,3455
wtru,2.150501517783817,1.8577810408901134,2.489344371699854,0.9800000000000001,3455
wall,1.3592998745661196,1.2419686744620688,1.4877155817120404,0.9800000000000001,3455
wmis,1.2885972087608586,1.1755250517898348,1.412545622824501,1.03,3465
wnon,1.9753504953911423,1.6681980242523595,2.3390565885550694,1.03,3465
wspl,2.6277368000252808,2.076599850300965,3.3251474467776494,1.03,3465
wtru,2.149945174871675,1.8573432195669959,2.4886430285252232,1.03,3465
wall,1.3622352663726949,1.2446929227807542,1.490877699218955,1.03,3465
wmis,1.2897981188717422,1.1766343598012066,1.4138454937914173,1.08,3472
wnon,1.9840790965291584,1.6759745114490832,2.3488244208918903,1.08,3472
wspl,2.656603479530604,2.1013491775595665,3.3585765387409316,1.08,3472
wtru,2.1641012388262553,1.8700968042899464,2.5043271349086873,1.08,3472
wall,1.3645801339979475,1.2468595898447976,1.4934151024444045,1.08,3472
wmis,1.2904775049043136,1.1772623268701543,1.4145803808157873,1.1300000000000001,3476
wnon,1.9936107722846914,1.684465199814884,2.3594930377940386,1.1300000000000001,3476
wspl,2.6562667537206277,2.101131953280286,3.358072326636166,1.1300000000000001,3476
wtru,2.1710510482688536,1.8763832256394204,2.5119936001256185,1.1300000000000001,3476
wall,1.3658768308530345,1.2480581282981391,1.4948178091713573,1.1300000000000001,3476
wmis,1.291658853883553,1.17834815199806,1.415865584366377,1.1800000000000002,3477
wnon,1.9949180883585238,1.6855625302878012,2.361050455114539,1.1800000000000002,3477
wspl,2.6580798108419783,2.1025647298146817,3.3603665944821897,1.1800000000000002,3477
wtru,2.1724955932269863,1.8776242309039533,2.5136750074419476,1.1800000000000002,3477
wall,1.3670438309923827,1.2491309139599767,1.496087251519426,1.1800000000000002,3477
wmis,1.291658853883553,1.17834815199806,1.415865584366377,1.2300000000000002,3481
wnon,1.9949180883585238,1.6855625302878012,2.361050455114539,1.2300000000000002,3481
wspl,2.6580798108419783,2.1025647298146817,3.3603665944821897,1.2300000000000002,3481
wtru,2.1724955932269863,1.8776242309039533,2.5136750074419476,1.2300000000000002,3481
wall,1.3670438309923827,1.2491309139599767,1.496087251519426,1.2300000000000002,3481
wmis,1.2919977488327223,1.178663282541298,1.4162299001880843,1.28,3484
wnon,1.9937053164266183,1.6845639233070777,2.359578543593913,1.28,3484
wspl,2.658016600457304,2.1025299324916045,3.360262386340516,1.28,3484
wtru,2.1715020336862505,1.8767821987048727,2.512503094689161,1.28,3484
wall,1.367276697959681,1.2493480780633794,1.4963368508809536,1.28,3484
wmis,1.291707790516377,1.1783984464926758,1.4159124369577742,1.33,3486
wnon,1.9936864371419043,1.6845479684212183,2.359556203892968,1.33,3486
wspl,2.678779314652646,2.120711308581015,3.383703659982049,1.33,3486
wtru,2.1772909615767553,1.8820341214027747,2.5188682168155525,1.33,3486
wall,1.367412804698593,1.249475193928212,1.4964825132503605,1.33,3486
wmis,1.291707790516377,1.1783984464926758,1.4159124369577742,1.3800000000000001,3489
wnon,1.9936864371419043,1.6845479684212183,2.359556203892968,1.3800000000000001,3489
wspl,2.678779314652646,2.120711308581015,3.383703659982049,1.3800000000000001,3489
wtru,2.1772909615767553,1.8820341214027747,2.5188682168155525,1.3800000000000001,3489
wall,1.367412804698593,1.249475193928212,1.4964825132503605,1.3800000000000001,3489
wmis,1.291707790516377,1.1783984464926758,1.4159124369577742,1.4300000000000002,3490
wnon,1.9936864371419043,1.6845479684212183,2.359556203892968,1.4300000000000002,3490
wspl,2.678779314652646,2.120711308581015,3.383703659982049,1.4300000000000002,3490
wtru,2.1772909615767553,1.8820341214027747,2.5188682168155525,1.4300000000000002,3490
wall,1.367412804698593,1.249475193928212,1.4964825132503605,1.4300000000000002,3490
wmis,1.291707790516377,1.1783984464926758,1.4159124369577742,1.4800000000000002,3490
wnon,1.9936864371419043,1.6845479684212183,2.359556203892968,1.4800000000000002,3490
wspl,2.678779314652646,2.120711308581015,3.383703659982049,1.4800000000000002,3490
wtru,2.1772909615767553,1.8820341214027747,2.5188682168155525,1.4800000000000002,3490
wall,1.367412804698593,1.249475193928212,1.4964825132503605,1.4800000000000002,3490
wmis,1.2925129947642857,1.1791430166537287,1.4167830517925495,1.53,3492
wnon,1.9945766354534091,1.6852969820053016,2.360614180868524,1.53,3492
wspl,2.679998263556764,2.1216780756198856,3.3852405674545167,1.53,3492
wtru,2.1782722800611345,1.882879793556232,2.520006928918709,1.53,3492
wall,1.368201958999701,1.2502048854632726,1.4973358546082989,1.53,3492
wmis,1.2925129947642857,1.1791430166537287,1.4167830517925495,1.58,3492
wnon,1.9945766354534091,1.6852969820053016,2.360614180868524,1.58,3492
wspl,2.679998263556764,2.1216780756198856,3.3852405674545167,1.58,3492
wtru,2.1782722800611345,1.882879793556232,2.520006928918709,1.58,3492
wall,1.368201958999701,1.2502048854632726,1.4973358546082989,1.58,3492
wmis,1.2925129947642857,1.1791430166537287,1.4167830517925495,1.6300000000000001,3494
wnon,1.9945766354534091,1.6852969820053016,2.360614180868524,1.6300000000000001,3494
wspl,2.679998263556764,2.1216780756198856,3.3852405674545167,1.6300000000000001,3494
wtru,2.1782722800611345,1.882879793556232,2.520006928918709,1.6300000000000001,3494
wall,1.368201958999701,1.2502048854632726,1.4973358546082989,1.6300000000000001,3494
wmis,1.2925129947642857,1.1791430166537287,1.4167830517925495,1.6800000000000002,3497
wnon,1.9945766354534091,1.6852969820053016,2.360614180868524,1.6800000000000002,3497
wspl,2.679998263556764,2.1216780756198856,3.3852405674545167,1.6800000000000002,3497
wtru,2.1782722800611345,1.882879793556232,2.520006928918709,1.6800000000000002,3497
wall,1.368201958999701,1.2502048854632726,1.4973358546082989,1.6800000000000002,3497
wmis,1.2925129947642857,1.1791430166537287,1.4167830517925495,1.7300000000000002,3498
wnon,1.9945766354534091,1.6852969820053016,2.360614180868524,1.7300000000000002,3498
wspl,2.679998263556764,2.1216780756198856,3.3852405674545167,1.7300000000000002,3498
wtru,2.1782722800611345,1.882879793556232,2.520006928918709,1.7300000000000002,3498
wall,1.368201958999701,1.2502048854632726,1.4973358546082989,1.7300000000000002,3498
wmis,1.2925129947642857,1.1791430166537287,1.4167830517925495,1.78,3499
wnon,1.9945766354534091,1.6852969820053016,2.360614180868524,1.78,3499
wspl,2.679998263556764,2.1216780756198856,3.3852405674545167,1.78,3499
wtru,2.1782722800611345,1.882879793556232,2.520006928918709,1.78,3499
wall,1.368201958999701,1.2502048854632726,1.4973358546082989,1.78,3499
wmis,1.2925129947642857,1.1791430166537287,1.4167830517925495,1.83,3500
wnon,1.9945766354534091,1.6852969820053016,2.360614180868524,1.83,3500
wspl,2.679998263556764,2.1216780756198856,3.3852405674545167,1.83,3500
wtru,2.1782722800611345,1.882879793556232,2.520006928918709,1.83,3500
wall,1.368201958999701,1.2502048854632726,1.4973358546082989,1.83,3500
wmis,1.2925129947642857,1.1791430166537287,1.4167830517925495,1.8800000000000001,3501
wnon,1.9945766354534091,1.6852969820053016,2.360614180868524,1.8800000000000001,3501
wspl,2.679998263556764,2.1216780756198856,3.3852405674545167,1.8800000000000001,3501
wtru,2.1782722800611345,1.882879793556232,2.520006928918709,1.8800000000000001,3501
wall,1.368201958999701,1.2502048854632726,1.4973358546082989,1.8800000000000001,3501
wmis,1.2925129947642857,1.1791430166537287,1.4167830517925495,1.9300000000000002,3501
wnon,1.9945766354534091,1.6852969820053016,2.360614180868524,1.9300000000000002,3501
wspl,2.679998263556764,2.1216780756198856,3.3852405674545167,1.9300000000000002,3501
wtru,2.1782722800611345,1.882879793556232,2.520006928918709,1.9300000000000002,3501
wall,1.368201958999701,1.2502048854632726,1.4973358546082989,1.9300000000000002,3501
wmis,1.2925129947642857,1.1791430166537287,1.4167830517925495,1.9800000000000002,3501
wnon,1.9945766354534091,1.6852969820053016,2.360614180868524,1.9800000000000002,3501
wspl,2.679998263556764,2.1216780756198856,3.3852405674545167,1.9800000000000002,3501
wtru,2.1782722800611345,1.882879793556232,2.520006928918709,1.9800000000000002,3501
