Human Ensembl Gene ID,V1,    Yeast Ensembl Gene ID,Yeast Gene Name(s),   % Identity with respect to human gene, % Identity with respect to yeast gene
ENSG00000001167,NFYA,YGL237C,HAP2,17,23
ENSG00000005007,UPF1,YMR080C,NAM7,44,51
ENSG00000005175,RPAP3,YOR027W,STI1,9,10
ENSG00000005339,CREBBP,YDL070W,BDF2,3,13
ENSG00000006695,COX10,YPL172C,COX10,30,28
ENSG00000007923,DNAJC11,YLR090W,XDJ1,16,20
ENSG00000007923,DNAJC11,YMR214W,SCJ1,14,21
ENSG00000007923,DNAJC11,YNL077W,APJ1,15,16
ENSG00000009413,REV3L,YPL167C,REV3,15,32
ENSG00000010244,ZNF207,YJL020C,BBC1,20,8
ENSG00000021776,AQR,YMR080C,NAM7,9,14
ENSG00000037897,METTL1,YDL201W,TRM8,53,51
ENSG00000042753,AP2S1,YLR170C,APS1,40,37
ENSG00000043514,TRIT1,YOR274W,mod5,30,33
ENSG00000044574,HSPA5,YER103W,SSA4,62,63
ENSG00000047410,TPR,YKR095W,MLP1,14,18
ENSG00000048707,VPS13D,YLL040C,VPS13,11,16
ENSG00000055483,USP36,YER144C,UBP5,8,11
ENSG00000059691,PET112,YBL080C,PET112,27,28
ENSG00000063244,U2AF2,YNL175C,NOP13,11,13
ENSG00000064703,DDX20,YJL138C,"tif2,tif1",17,36
ENSG00000064703,DDX20,YKR059W,"tif2,tif1",17,36
ENSG00000066136,NFYC,YOR358W,HAP5,19,28
ENSG00000068438,FTSJ1,YBR061C,TRM7,44,46
ENSG00000069329,VPS35,YJL154C,Vps35,34,29
ENSG00000070061,IKBKAP,YLR384C,IKI3,28,27
ENSG00000071082,RPL31,YLR406C,RPL31B,51,58
ENSG00000071537,SEL1L,YLR207W,HRD3,17,16
ENSG00000072274,TFRC,YJR126C,VPS70,18,17
ENSG00000072506,HSD17B10,YMR226C,YMR226C,20,19
ENSG00000073578,SDHA,YJL045W,YJL045W,62,65
ENSG00000073578,SDHA,YKL148C,sdh1,63,65
ENSG00000074319,TSG101,YCL008C,STP22,23,23
ENSG00000074800,ENO1,YGR254W,eno1,63,63
ENSG00000074800,ENO1,YHR174W,eno2,62,62
ENSG00000074800,ENO1,YMR323W,ERR3,59,59
ENSG00000074800,ENO1,YOR393W,"ERR1,ERR2",59,59
ENSG00000074800,ENO1,YPL281C,"ERR1,ERR2",59,59
ENSG00000075089,ACTR6,YLR085C,ARP6,31,28
ENSG00000075415,SLC25A3,YER053C,PIC2,40,48
ENSG00000077152,UBE2T,YDR092W,Ubc13,35,45
ENSG00000079805,DNM2,YKR001C,VPS1,34,41
ENSG00000084072,PPIE,YDR155C,CPR1,30,58
ENSG00000084072,PPIE,YML078W,CPR3,30,51
ENSG00000084463,WBP11,YJL020C,BBC1,19,11
ENSG00000084774,CAD,YJR109C,Cpa2,26,52
ENSG00000085415,SEH1L,YGL100W,seh1,28,34
ENSG00000086589,RBM22,YBR065C,ECM2,16,19
ENSG00000086598,TMED2,YGL200C,EMP24,33,33
ENSG00000087470,DNM1L,YLL001W,DNM1,44,43
ENSG00000088038,CNOT3,YIL038C,not3,24,22
ENSG00000088766,CRLS1,YDL142C,CRD1,21,23
ENSG00000089280,FUS,YHR089C,Gar1,7,17
ENSG00000091483,FH,YPL262W,FUM1,63,66
ENSG00000099783,HNRNPM,YCL011C,GBP2,11,19
ENSG00000099783,HNRNPM,YNL004W,HRB1,11,17
ENSG00000100023,PPIL2,YDR304C,CPR5,13,31
ENSG00000100023,PPIL2,YHR057C,CPR2,12,32
ENSG00000100462,PRMT5,YBR133C,hsl7,30,23
ENSG00000100575,TIMM9,YEL020W-A,TIM9,39,40
ENSG00000100714,MTHFD1,YBR084W,MIS1,56,53
ENSG00000100823,APEX1,YBL019W,apn2,23,14
ENSG00000100836,PABPN1,YIR001C,SGN1,16,20
ENSG00000101019,UQCC,YPL215W,CBP3,23,21
ENSG00000101057,MYBL2,YKR099W,bas1,14,12
ENSG00000101146,RAE1,YER107C,GLE2,39,39
ENSG00000101166,SLMO2,YDR185C,UPS3,27,29
ENSG00000101166,SLMO2,YLR168C,UPS2,30,26
ENSG00000101413,RPRD1B,YDR289C,RTT103,19,15
ENSG00000101421,CHMP4B,YLR025W,snf7,38,36
ENSG00000102030,NAA10,YHR013C,Ard1,42,42
ENSG00000102241,HTATSF1,YNL286W,CUS2,3,8
ENSG00000103091,WDR59,YDR128W,MTC5,25,22
ENSG00000103194,USP10,YER151C,ubp3,20,17
ENSG00000103549,RNF40,YDL074C,Bre1,14,19
ENSG00000104889,RNASEH2A,YNL072W,RNH201,36,36
ENSG00000105193,RPS16,YDL083C,"RPS16A,RPS16B",61,62
ENSG00000105640,RPL18A,YMR242C,"RPL20B,RPL20A",54,55
ENSG00000105640,RPL18A,YOR312C,"RPL20B,RPL20A",54,55
ENSG00000105726,ATP13A1,YEL031W,SPF1,40,39
ENSG00000105953,OGDH,YIL125W,KGD1,44,45
ENSG00000106105,GARS,YPR081C,GRS2,39,47
ENSG00000107371,EXOSC3,YOL142W,RRP40,28,32
ENSG00000107862,GBF1,YEL022W,GEA2,19,24
