ID	ensembleID	na	ns	Na	Ns	cNa	cNs	dnds	Pvalue	PvalueAdj	Gene_Name	
PD30272_10	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_11	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_12	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_13	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_14	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_15	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_16	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_17	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_18	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_19	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_1	ENST00000269305	2	1	2577	831	2338.12409	826.6669056	0.853559894077307	0.776119758660983	0.829037014933323	TP53
PD30272_20	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_21	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_22	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_23	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_24	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_25	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_26	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_27	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_28	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_29	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_2	ENST00000269305	6	1	2577	831	2465.240794	819.9249765	1.49778282733545	0.514095159139672	0.738657061359301	TP53
PD30272_30	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_31	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_32	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_33	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_34	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_35	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_36	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_37	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_38	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
PD30272_39	ENST00000269305	6	1	2577	831	2503.557291	814.007085	1.47542056008815	0.528520820315042	0.714096044554755	TP53
