gene_name,n_syn,n_mis,n_non,n_spl,wmis_cv,wnon_cv,wspl_cv,pmis_cv,ptrunc_cv,pallsubs_cv,qmis_cv,qtrunc_cv,qallsubs_cv,wmis_loc,wnon_loc,wspl_loc,pmis_loc,pall_loc,qmis_loc,qall_loc,areacutoff,n_ind,wind_cv,pind_cv,pglobal_cv,qglobal_cv
GRM3,0,5,0,0,8.896696064401718,0,0,0.0030906409129854984,0.7683211178972403,0.011368321971323203,0.23179806847391238,0.9113981921717629,0.50738400988869925,1e4,0,0,0.034359153390870256,0.1746030811673176,0.9408712012781839,1,0.03,NA,NA,NA,NA,NA
SALL1,0,5,1,0,5.735550164830966,23.23037342459962,23.23037342459962,0.01665442005422313,0.043178319966819756,0.013530240263698645,0.3476627169110111,0.9113981921717629,0.50738400988869925,1e4,1e4,0,0.04142345976845285,0.10770802590960293,0.9408712012781839,1,0.03,NA,NA,NA,NA,NA
ADAM29,1,5,0,0,6.449450273656792,0,0,0.007529285839408373,0.7083729391398026,0.02458894914324572,0.282348218977814,0.9113981921717629,0.614723728581143,1.9611590602423652,0,0,0.5090754813733886,0.753902339984338,0.9408712012781839,1,0.03,NA,NA,NA,NA,NA
KMT2A,2,0,0,0,0,0,0,0.018542011568587258,0.46884102480193157,0.05384894004111718,0.3476627169110111,0.9113981921717629,0.9154424754930763,0,0,0,0.02560049079994897,0.15888975233025326,0.9408712012781839,1,0.03,NA,NA,NA,NA,NA
TRIOBP,0,0,1,0,0,6.716511723480171,6.716511723480171,0.11844565594087719,0.1699010437545846,0.08010935252138762,0.7214553065888798,0.9113981921717629,0.9154424754930763,0,1e4,0,0.9999812711089403,0.12370207678178702,0.9999959515193677,1,0.03,NA,NA,NA,NA,NA
MUC17,5,15,0,0,2.347695778370226,0,0,0.04596116378525905,0.5771482217347497,0.10622395598353251,0.6894174567788858,0.9113981921717629,0.9154424754930763,1.2751269141209391,0,0,0.6312866605343964,0.8220184607478438,0.9863854070849944,1,0.03,NA,NA,NA,NA,NA
FAT1,3,9,1,1,1.8915004091562457,6.747453130720063,6.747453130720063,0.22390040564249858,0.05143096172032924,0.1086725465183962,0.7214553065888798,0.9113981921717629,0.9154424754930763,1.2780521472663682,2.641454849001932,16.638686099420795,0.7074279596604882,0.27523296619734183,0.9999959515193677,1,0.03,NA,NA,NA,NA,NA
PPP1R3A,3,5,0,0,3.1495756423913455,0,0,0.07037285856896569,0.6139176107663692,0.16147397304282718,0.7214553065888798,0.9113981921717629,0.9154424754930763,0.5548082306353874,0,0,0.43393440094052027,0.6692547780843483,0.9408712012781839,1,0.03,NA,NA,NA,NA,NA
NOTCH2,1,6,0,0,2.932528777252183,0,0,0.09467730747764191,0.5523561649493871,0.18372887953338413,0.7214553065888798,0.9113981921717629,0.9154424754930763,2.4309469714850662,0,0,0.3630185991356435,0.641214366328781,0.9408712012781839,1,0.03,NA,NA,NA,NA,NA
NOTCH1,3,7,1,0,2.3972767395068852,4.143456857305536,4.143456857305536,0.11986438836869595,0.2665109198971597,0.20462919323342355,0.7214553065888798,0.9113981921717629,0.9154424754930763,1.2007617639839876,2.6142849460933486,0,0.7885147027611616,0.8453727755351748,0.9999959515193677,1,0.03,NA,NA,NA,NA,NA
IRF6,0,2,0,0,5.958952885679117,0,0,0.0803633539494778,0.7868732270272719,0.20503043420217815,0.7214553065888798,0.9113981921717629,0.9154424754930763,1e4,0,0,0.21084120520053684,0.6037710197759709,0.9408712012781839,1,0.03,NA,NA,NA,NA,NA
SPHKAP,1,1,0,1,0.6718838666509405,9.42933916611019,9.42933916611019,0.7132511388194509,0.11309759920538465,0.24032771128095354,0.882081447040772,0.9113981921717629,0.9154424754930763,0.4232043649162507,0,44.77030999814945,0.5491427476930655,0.07644226614801197,0.9517706738546468,1,0.03,NA,NA,NA,NA,NA
DICER1,0,4,0,0,3.1988766664792214,0,0,0.13235062703347245,0.6352661966075273,0.266637904816994,0.7214553065888798,0.9113981921717629,0.9154424754930763,1e4,0,0,0.11192049760154033,0.3847233050227745,0.9408712012781839,1,0.03,NA,NA,NA,NA,NA
