ID	ensembleID	na	ns	Na	Ns	cNa	cNs	dnds	Pvalue	PvalueAdj	Gene_Name	
PD30272_10	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_11	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_12	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_13	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_14	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_15	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_16	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_17	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_18	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_19	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_1	ENST00000277541	8	1	16916	5288	15221.42747	6551.407698	2.22162767543641	0.214461986737551	0.702148891938302	NOTCH1
PD30272_20	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_21	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_22	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_23	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_24	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_25	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_26	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_27	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_28	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_29	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_2	ENST00000277541	27	2	16916	5288	17490.68888	7494.149337	4.18951901565507	0.00663760364635173	0.404893822427455	NOTCH1
PD30272_30	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_31	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_32	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_33	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_34	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_35	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_36	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_37	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_38	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_39	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_3	ENST00000277541	31	2	16916	5288	17736.95212	7402.802165	4.64611615273391	0.00320478566292771	0.195491925438591	NOTCH1
PD30272_40	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_41	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_42	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_43	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_44	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_45	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_46	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_47	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_48	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_49	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_4	ENST00000277541	32	2	16916	5288	17717.49585	7392.930123	4.7841836103492	0.00257806469421969	0.157261946347401	NOTCH1
PD30272_50	ENST00000277541	34	2	16916	5288	18041.54104	7540.024054	5.06982484233878	0.00164548908106137	0.100374833944743	NOTCH1
PD30272_5	ENST00000277541	33	2	16916	5288	17833.02545	7446.167147	4.92637554294898	0.00206142062412447	0.125746658071593	NOTCH1
PD30272_6	ENST00000277541	33	2	16916	5288	17892.25149	7462.88738	4.92145133658637	0.0020767974573038	0.126684644895532	NOTCH1
PD30272_7	ENST00000277541	34	2	16916	5288	17983.35962	7523.710522	5.07486778802458	0.00163301479220737	0.0996139023246496	NOTCH1
PD30272_8	ENST00000277541	34	2	16916	5288	17983.35962	7523.710522	5.07486778802458	0.00163301479220737	0.0996139023246496	NOTCH1
PD30272_9	ENST00000277541	34	2	16916	5288	17983.35962	7523.710522	5.07486778802458	0.00163301479220737	0.0996139023246496	NOTCH1
PD30273_10	ENST00000277541	122	2	16916	5288	18077.16513	7262.061726	16.6701782645053	2.72535800473591e-11	1.82598986317306e-09	NOTCH1
PD30273_11	ENST00000277541	127	2	16916	5288	18194.47617	7243.641984	17.1872129279334	1.2333055065622e-11	8.26314689396675e-10	NOTCH1
PD30273_12	ENST00000277541	128	2	16916	5288	18209.09966	7233.324285	17.2821030101752	1.06610630706282e-11	7.14291225732091e-10	NOTCH1
PD30273_13	ENST00000277541	129	2	16916	5288	18239.17665	7214.986061	17.3431143435414	9.69816947732119e-12	6.4977735498052e-10	NOTCH1
PD30273_14	ENST00000277541	130	2	16916	5288	18218.89764	7199.274026	17.4566822477996	8.1513546680257e-12	5.46140762757722e-10	NOTCH1
PD30273_15	ENST00000277541	131	2	16916	5288	18225.62663	7202.876988	17.5906619761949	6.64408875016257e-12	4.45153946260892e-10	NOTCH1
PD30273_16	ENST00000277541	132	2	16916	5288	18214.41117	7200.543603	17.7274678774038	5.39267071132293e-12	3.61308937658637e-10	NOTCH1
PD30273_17	ENST00000277541	133	2	16916	5288	18193.02869	7244.095132	17.9859677383931	3.64446369036073e-12	2.44179067254169e-10	NOTCH1
PD30273_18	ENST00000277541	135	2	16916	5288	18271.67415	7236.279207	18.1550480619205	2.81029748733748e-12	1.88289931651611e-10	NOTCH1
PD30273_19	ENST00000277541	136	2	16916	5288	18268.86231	7241.828861	18.3035953084846	2.24123291814918e-12	1.50162605515995e-10	NOTCH1
PD30273_1	ENST00000277541	11	1	16916	5288	14799.03884	4764.490418	2.27070265051078	0.196017948314372	0.73767841404112	NOTCH1
PD30273_20	ENST00000277541	137	2	16916	5288	18247.48229	7233.302232	18.435600631273	1.83250142794285e-12	1.22777595672171e-10	NOTCH1
PD30273_21	ENST00000277541	137	2	16916	5288	18247.48229	7233.302232	18.435600631273	1.83250142794285e-12	1.22777595672171e-10	NOTCH1
PD30273_22	ENST00000277541	137	2	16916	5288	18247.48229	7233.302232	18.435600631273	1.83250142794285e-12	1.22777595672171e-10	NOTCH1
PD30273_23	ENST00000277541	137	2	16916	5288	18247.48229	7233.302232	18.435600631273	1.83250142794285e-12	1.22777595672171e-10	NOTCH1
PD30273_24	ENST00000277541	137	2	16916	5288	18234.56913	7242.112019	18.4704833354257	1.73877784018186e-12	1.16498115292185e-10	NOTCH1
PD30273_25	ENST00000277541	137	2	16916	5288	18234.56913	7242.112019	18.4704833354257	1.73877784018186e-12	1.16498115292185e-10	NOTCH1
PD30273_26	ENST00000277541	137	2	16916	5288	18234.56913	7242.112019	18.4704833354257	1.73877784018186e-12	1.16498115292185e-10	NOTCH1
PD30273_27	ENST00000277541	137	2	16916	5288	18234.56913	7242.112019	18.4704833354257	1.73877784018186e-12	1.16498115292185e-10	NOTCH1
PD30273_28	ENST00000277541	137	2	16916	5288	18234.56913	7242.112019	18.4704833354257	1.73877784018186e-12	1.16498115292185e-10	NOTCH1
PD30273_29	ENST00000277541	137	2	16916	5288	18257.96882	7249.130263	18.4647924571455	1.753734109124e-12	1.17500185311308e-10	NOTCH1
PD30273_2	ENST00000277541	67	2	16916	5288	17314.47811	6161.487326	8.28081805718371	1.04343109880746e-05	0.000699098836200999	NOTCH1
PD30273_30	ENST00000277541	137	2	16916	5288	18257.96882	7249.130263	18.4647924571455	1.753734109124e-12	1.17500185311308e-10	NOTCH1
PD30273_31	ENST00000277541	137	2	16916	5288	18257.96882	7249.130263	18.4647924571455	1.753734109124e-12	1.17500185311308e-10	NOTCH1
PD30273_32	ENST00000277541	137	2	16916	5288	18249.52063	7245.385883	18.4638162483979	1.75631259997901e-12	1.17672944198594e-10	NOTCH1
PD30273_33	ENST00000277541	139	2	16916	5288	18267.20855	7244.938805	18.7095490377118	1.20695793212856e-12	8.08661814526132e-11	NOTCH1
PD30273_34	ENST00000277541	139	2	16916	5288	18267.20855	7244.938805	18.7095490377118	1.20695793212856e-12	8.08661814526132e-11	NOTCH1
PD30273_35	ENST00000277541	139	2	16916	5288	18267.20855	7244.938805	18.7095490377118	1.20695793212856e-12	8.08661814526132e-11	NOTCH1
PD30273_36	ENST00000277541	139	2	16916	5288	18267.20855	7244.938805	18.7095490377118	1.20695793212856e-12	8.08661814526132e-11	NOTCH1
PD30273_37	ENST00000277541	139	2	16916	5288	18267.20855	7244.938805	18.7095490377118	1.20695793212856e-12	8.08661814526132e-11	NOTCH1
PD30273_38	ENST00000277541	139	2	16916	5288	18267.20855	7244.938805	18.7095490377118	1.20695793212856e-12	8.08661814526132e-11	NOTCH1
PD30273_39	ENST00000277541	139	2	16916	5288	18267.20855	7244.938805	18.7095490377118	1.20695793212856e-12	8.08661814526132e-11	NOTCH1
PD30273_3	ENST00000277541	79	2	16916	5288	17529.72232	6815.387642	10.5714803670661	3.10730757745606e-07	2.08189607689556e-05	NOTCH1
PD30273_40	ENST00000277541	139	2	16916	5288	18267.20855	7244.938805	18.7095490377118	1.20695793212856e-12	8.08661814526132e-11	NOTCH1
PD30273_41	ENST00000277541	139	2	16916	5288	18267.20855	7244.938805	18.7095490377118	1.20695793212856e-12	8.08661814526132e-11	NOTCH1
PD30273_42	ENST00000277541	139	2	16916	5288	18267.20855	7244.938805	18.7095490377118	1.20695793212856e-12	8.08661814526132e-11	NOTCH1
PD30273_43	ENST00000277541	139	2	16916	5288	18267.20855	7244.938805	18.7095490377118	1.20695793212856e-12	8.08661814526132e-11	NOTCH1
PD30273_44	ENST00000277541	139	2	16916	5288	18267.20855	7244.938805	18.7095490377118	1.20695793212856e-12	8.08661814526132e-11	NOTCH1
