ID	ensembleID	na	ns	Na	Ns	cNa	cNs	dnds	Pvalue	PvalueAdj	Gene_Name	
PD30272_10	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_11	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_12	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_13	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_14	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_15	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_16	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_17	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_18	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_19	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_1	ENST00000269305	0	1	138	831	170.9523927	653.7433195	0.5	0.609093057889074	0.671858676711966	TP53
PD30272_20	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_21	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_22	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_23	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_24	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_25	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_26	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_27	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_28	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
PD30272_29	ENST00000269305	0	1	138	831	176.2305801	649.4692023	0.5	0.602430588722343	0.649761989324428	TP53
