ID	ensembleID	na	ns	Na	Ns	cNa	cNs	dnds	Pvalue	PvalueAdj	Gene_Name	
PD30272_10	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_11	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_12	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_13	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_14	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_15	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_16	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_17	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_18	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_19	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_1	ENST00000277541	2	1	800	5288	1023.464748	4978.574215	5.36443155441246	0.0223144312960037	0.185953594133364	NOTCH1
PD30272_20	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_21	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_22	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_23	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_24	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_25	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_26	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_27	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_28	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_29	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_2	ENST00000277541	7	2	800	5288	1136.88609	5802.815928	12.242973139024	6.47586674608595e-07	1.26279401548676e-05	NOTCH1
PD30272_30	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_31	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_32	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_33	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_34	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_35	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_36	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_37	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_38	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_39	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_3	ENST00000277541	8	2	800	5288	1162.621885	5731.941	13.4804933835676	9.69317967454869e-08	1.93863593490974e-06	NOTCH1
PD30272_40	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_41	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_42	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_43	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_44	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_45	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_46	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_47	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_48	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_49	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_4	ENST00000277541	8	2	800	5288	1158.847138	5720.94789	13.4980213579587	9.48536593889199e-08	1.8970731877784e-06	NOTCH1
PD30272_50	ENST00000277541	8	2	800	5288	1137.957284	5820.487883	13.9729498985306	5.27422598054225e-08	1.05484519610845e-06	NOTCH1
PD30272_5	ENST00000277541	8	2	800	5288	1151.370705	5760.867854	13.6759641737917	7.6124109833057e-08	1.52248219666114e-06	NOTCH1
PD30272_6	ENST00000277541	8	2	800	5288	1147.668549	5771.073802	13.7427189543613	7.00959487334681e-08	1.40191897466936e-06	NOTCH1
PD30272_7	ENST00000277541	8	2	800	5288	1141.592931	5810.537627	13.9062686455382	5.72705957556426e-08	1.14541191511285e-06	NOTCH1
PD30272_8	ENST00000277541	8	2	800	5288	1141.592931	5810.537627	13.9062686455382	5.72705957556426e-08	1.14541191511285e-06	NOTCH1
PD30272_9	ENST00000277541	8	2	800	5288	1141.592931	5810.537627	13.9062686455382	5.72705957556426e-08	1.14541191511285e-06	NOTCH1
PD30273_10	ENST00000277541	44	2	800	5288	1405.872577	5890.400389	61.7845206258689	2.0700872151823e-39	1.01434273543933e-37	NOTCH1
PD30273_11	ENST00000277541	44	2	800	5288	1418.827134	5868.588329	60.997967355855	6.43980218590452e-39	3.15550307109322e-37	NOTCH1
PD30273_12	ENST00000277541	45	2	800	5288	1422.727294	5889.257444	62.4245450733114	7.55309003597337e-40	3.70101411762695e-38	NOTCH1
PD30273_13	ENST00000277541	46	2	800	5288	1434.411515	5872.689228	63.1102286345398	2.58464746556369e-40	1.26647725812621e-38	NOTCH1
PD30273_14	ENST00000277541	46	2	800	5288	1431.799292	5860.595435	63.0952468492584	2.6412269635303e-40	1.29420121212985e-38	NOTCH1
PD30273_15	ENST00000277541	46	2	800	5288	1429.90788	5868.421584	63.2621873851062	2.07498061370054e-40	1.01674050071326e-38	NOTCH1
PD30273_16	ENST00000277541	46	2	800	5288	1428.021458	5867.437532	63.3347504245509	1.86838056737964e-40	9.15506478016026e-39	NOTCH1
PD30273_17	ENST00000277541	50	2	800	5288	1429.157443	5882.357782	68.9327006366786	4.14179790173324e-44	2.02948097184929e-42	NOTCH1
PD30273_18	ENST00000277541	50	2	800	5288	1423.675461	5871.673018	69.0717639992157	3.38567963281817e-44	1.6589830200809e-42	NOTCH1
PD30273_19	ENST00000277541	50	2	800	5288	1421.8193	5873.281403	69.1803544585448	2.89258879428237e-44	1.41736850919836e-42	NOTCH1
PD30273_1	ENST00000277541	6	1	800	5288	1377.157015	4466.085609	10.2289246477098	0.000107060797468791	0.00121335570464629	NOTCH1
PD30273_20	ENST00000277541	50	2	800	5288	1419.967973	5866.425338	69.1896438223399	2.85390126550876e-44	1.39841162009929e-42	NOTCH1
PD30273_21	ENST00000277541	50	2	800	5288	1419.967973	5866.425338	69.1896438223399	2.85390126550876e-44	1.39841162009929e-42	NOTCH1
PD30273_22	ENST00000277541	50	2	800	5288	1419.967973	5866.425338	69.1896438223399	2.85390126550876e-44	1.39841162009929e-42	NOTCH1
PD30273_23	ENST00000277541	50	2	800	5288	1419.967973	5866.425338	69.1896438223399	2.85390126550876e-44	1.39841162009929e-42	NOTCH1
PD30273_24	ENST00000277541	51	2	800	5288	1419.550135	5865.654336	70.5782096877708	3.53689331859726e-45	1.73307772611266e-43	NOTCH1
PD30273_25	ENST00000277541	51	2	800	5288	1419.550135	5865.654336	70.5782096877708	3.53689331859726e-45	1.73307772611266e-43	NOTCH1
PD30273_26	ENST00000277541	51	2	800	5288	1419.550135	5865.654336	70.5782096877708	3.53689331859726e-45	1.73307772611266e-43	NOTCH1
PD30273_27	ENST00000277541	51	2	800	5288	1419.550135	5865.654336	70.5782096877708	3.53689331859726e-45	1.73307772611266e-43	NOTCH1
PD30273_28	ENST00000277541	51	2	800	5288	1419.550135	5865.654336	70.5782096877708	3.53689331859726e-45	1.73307772611266e-43	NOTCH1
PD30273_29	ENST00000277541	51	2	800	5288	1417.706564	5869.640393	70.717352999197	2.89049964579534e-45	1.41634482643972e-43	NOTCH1
PD30273_2	ENST00000277541	19	2	800	5288	1361.524269	5148.790305	24.2836998508177	4.56568169071265e-15	2.00889994391357e-13	NOTCH1
PD30273_30	ENST00000277541	51	2	800	5288	1417.706564	5869.640393	70.717352999197	2.89049964579534e-45	1.41634482643972e-43	NOTCH1
PD30273_31	ENST00000277541	51	2	800	5288	1417.706564	5869.640393	70.717352999197	2.89049964579534e-45	1.41634482643972e-43	NOTCH1
PD30273_32	ENST00000277541	51	2	800	5288	1415.867774	5865.070253	70.7538882269007	2.74131421561667e-45	1.34324396565217e-43	NOTCH1
PD30273_33	ENST00000277541	51	2	800	5288	1412.204468	5867.917887	70.9708411017906	2.00123478554484e-45	9.8060504491697e-44	NOTCH1
PD30273_34	ENST00000277541	51	2	800	5288	1412.204468	5867.917887	70.9708411017906	2.00123478554484e-45	9.8060504491697e-44	NOTCH1
PD30273_35	ENST00000277541	51	2	800	5288	1412.204468	5867.917887	70.9708411017906	2.00123478554484e-45	9.8060504491697e-44	NOTCH1
PD30273_36	ENST00000277541	51	2	800	5288	1412.204468	5867.917887	70.9708411017906	2.00123478554484e-45	9.8060504491697e-44	NOTCH1
PD30273_37	ENST00000277541	51	2	800	5288	1412.204468	5867.917887	70.9708411017906	2.00123478554484e-45	9.8060504491697e-44	NOTCH1
PD30273_38	ENST00000277541	51	2	800	5288	1412.204468	5867.917887	70.9708411017906	2.00123478554484e-45	9.8060504491697e-44	NOTCH1
