gene_name,n_syn,n_mis,n_non,n_spl,n_ind,wmis_cv,wnon_cv,wspl_cv,wind_cv,pmis_cv,ptrunc_cv,pallsubs_cv,pind_cv,qmis_cv,qtrunc_cv,qallsubs_cv,pglobal_cv,qglobal_cv,wmis_loc,wnon_loc,wspl_loc,pmis_loc,pall_loc,qmis_loc,qall_loc,areacutoff
BAI3,3,24,3,0,10,2.098493849790241,2.3302042266913046,2.3302042266913046,2.4641432524034173,0.006778618385682056,0.21002255235953438,0.01647200224476486,0.029626442640820084,0.33215230089842074,0.8103326146545028,0.7534312831836228,0.004209147311855621,0.20624821828092543,2.611269967590589,4.387892552847783,0,0.07665887564244489,0.12162600204267493,0.6293293175857758,0.9231739604576538,0.02
MUC17,13,56,2,0,20,1.5557737431084744,1.404040180155498,1.404040180155498,1.6701780923054765,0.026570868048594987,0.6553287483056747,0.08436636026426236,0.09553320928828614,0.6509862671905772,0.9017469590353815,0.922681213990807,0.04691496781554383,0.9822613648730147,1.3608325688058922,1.4133240375185565,0,0.30185280744134035,0.6524878544631136,0.9244242227891049,0.9763363949582303,0.02
ADAM29,4,9,0,0,6,1.3061851586999231,0,0,2.742672477522829,0.4853919021885613,0.34799619475227683,0.49371620675318195,0.04181358924345171,0.9446947721604299,0.8301815764962094,0.9411776901136446,0.10074972515649727,0.9822613648730147,0.6361058437809592,0,0,0.4658913162967937,0.6141753325458527,0.9820110090574243,0.9763363949582303,0.02
SETD2,6,28,0,0,3,1.4156291611737968,0,0,0.4389345232058952,0.16732787948089678,0.053525192965675594,0.04507423512647557,0.910699253392091,0.9354337720621081,0.8103326146545028,0.7534312831836228,0.17211822819123412,0.9822613648730147,1.3705527618912767,0,0,0.4688352729232539,0.14349532660026754,0.9820110090574243,0.9231739604576538,0.02
CDKN2A.p14arf,0,0,0,1,0,0,18.745852808927,18.745852808927,0,0.14272635225542796,0.04712160430740853,0.0461284459092014,1,0.9354337720621081,0.8103326146545028,0.7534312831836228,0.18803455901362465,0.9822613648730147,0,0,1e4,0.9999879384212893,0.02465697199785888,0.9999879384212893,0.8200769691461891,0.02
ERBB2,1,5,0,1,6,0.5825510014310508,1.209061892641127,1.209061892641127,1.7927819299731231,0.22927390329973563,0.8558826851578254,0.46877755253881415,0.1556776572034044,0.9446947721604299,0.9909363020452504,0.9411776901136446,0.26400551263597083,0.9822613648730147,1.9849070799820034,0,8.153617868355648,0.5010260250292982,0.5014463579722633,0.9820110090574243,0.9763363949582303,0.02
PCED1B,0,2,0,0,3,0.6162768092283504,0,0,2.6001548545568625,0.47515365130708576,0.5326926573538995,0.6422318894129588,0.12201857897315058,0.9446947721604299,0.8700646736780357,0.9580423218920349,0.2779099227881672,0.9822613648730147,1e4,0,0,0.25272267080773636,0.6873505739406605,0.9244242227891049,0.9763363949582303,0.02
TRIOBP,2,11,4,0,3,0.7206896094182165,3.0003632005233585,3.0003632005233585,0.4758525156479803,0.3319956141080461,0.07097191446738849,0.09415114428477622,0.8885672623980239,0.9446947721604299,0.8103326146545028,0.922681213990807,0.29121905268006865,0.9822613648730147,2.1388322566876403,11.283792211698144,0,0.28219951008862465,0.03347252935290568,0.9244242227891049,0.8200769691461891,0.02
PTEN,0,7,0,0,1,2.2765007121940926,0,0,0.9289332112401991,0.0716727830335091,0.4073923292831919,0.13482086040589447,0.6353117518933613,0.9354337720621081,0.8343012199883257,0.9411776901136446,0.29614173370227626,0.9822613648730147,1e4,0,0,0.05710509503434069,0.18840284907299054,0.6293293175857758,0.9231739604576538,0.02
PTCH1,4,12,1,1,7,1.0661173197290292,2.0894979168419514,2.0894979168419514,1.814242487145914,0.8484405571443997,0.3614172722726888,0.6554398770799124,0.13515992312074915,0.9446947721604299,0.8301815764962094,0.9580423218920349,0.3033068675742574,0.9822613648730147,1.1814129309638224,1.840560469464286,3.1206725981976025,0.7697606870104406,0.8050512373015595,0.9999879384212893,0.9763363949582303,0.02
